Indicador,Entidad,Year,Numhab
Less than 14 years,Veracruz de Ignacio de la Llave,2000,2338475
Less than 14 years,Yucatan,2000,542399
Less than 14 years,Zacatecas,2000,491964
Between 15 and 59 years,Nacional,2000,55894181
Between 15 and 59 years,Aguascalientes,2000,536643
Between 15 and 59 years,Baja California,2000,1393325
Between 15 and 59 years,Baja California Sur,2000,260195
Between 15 and 59 years,Campeche,2000,397498
Between 15 and 59 years,Coahuila de Zaragoza,2000,1364948
Between 15 and 59 years,Colima,2000,305096
Between 15 and 59 years,Chiapas,2000,2068815
Between 15 and 59 years,Chihuahua,2000,1762405
Between 15 and 59 years,Distrito Federal,2000,5500587
Between 15 and 59 years,Durango,2000,801984
Between 15 and 59 years,Guanajuato,2000,2576531
Between 15 and 59 years,Guerrero,2000,1609249
Between 15 and 59 years,Hidalgo,2000,1254632
Between 15 and 59 years,Jalisco,2000,3636978
Between 15 and 59 years,Mexico,2000,7573211
Between 15 and 59 years,Michoacan de Ocampo,2000,2162761
Between 15 and 59 years,Morelos,2000,875186
Between 15 and 59 years,Nayarit,2000,522034
Between 15 and 59 years,Nuevo Leon,2000,2376187
Between 15 and 59 years,Oaxaca,2000,1826407
Between 15 and 59 years,Puebla,2000,2739205
Between 15 and 59 years,Queretaro,2000,801889
Between 15 and 59 years,Quintana Roo,2000,527303
Between 15 and 59 years,San Luis Potosi,2000,1255500
Between 15 and 59 years,Sinaloa,2000,1480571
Between 15 and 59 years,Sonora,2000,1324123
Between 15 and 59 years,Tabasco,2000,1096509
Between 15 and 59 years,Tamaulipas,2000,1656774
Between 15 and 59 years,Tlaxcala,2000,550816
Between 15 and 59 years,Veracruz de Ignacio de la Llave,2000,3956405
Between 15 and 59 years,Yucatan,2000,964862
Between 15 and 59 years,Zacatecas,2000,735552
More than 60 years,Nacional,2000,6948457
More than 60 years,Aguascalientes,2000,58854
More than 60 years,Baja California,2000,130455
More than 60 years,Baja California Sur,2000,24789
More than 60 years,Campeche,2000,45865
More than 60 years,Coahuila de Zaragoza,2000,161218
More than 60 years,Colima,2000,38094
More than 60 years,Chiapas,2000,212807
More than 60 years,Chihuahua,2000,210052
More than 60 years,Distrito Federal,2000,730640
More than 60 years,Durango,2000,112600
More than 60 years,Guanajuato,2000,331065
More than 60 years,Guerrero,2000,230862
More than 60 years,Hidalgo,2000,170128
More than 60 years,Jalisco,2000,475419
More than 60 years,Mexico,2000,713704
More than 60 years,Michoacan de Ocampo,2000,325827
More than 60 years,Morelos,2000,120115
More than 60 years,Nayarit,2000,77998
More than 60 years,Nuevo Leon,2000,274873
More than 60 years,Oaxaca,2000,290315
More than 60 years,Puebla,2000,373788
More than 60 years,Queretaro,2000,83574
More than 60 years,Quintana Roo,2000,32410
More than 60 years,San Luis Potosi,2000,186868
More than 60 years,Sinaloa,2000,184582
More than 60 years,Sonora,2000,157945
More than 60 years,Tabasco,2000,110388
More than 60 years,Tamaulipas,2000,205674
More than 60 years,Tlaxcala,2000,69648
More than 60 years,Veracruz de Ignacio de la Llave,2000,551701
More than 60 years,Yucatan,2000,138635
More than 60 years,Zacatecas,2000,117564
Less than 14 years,Nacional,2005,31650104
Less than 14 years,Aguascalientes,2005,358946
Less than 14 years,Baja California,2005,813527
Less than 14 years,Baja California Sur,2005,146339
Less than 14 years,Campeche,2005,236257
Less than 14 years,Coahuila de Zaragoza,2005,764458
Less than 14 years,Colima,2005,162661
Less than 14 years,Chiapas,2005,1540223
Less than 14 years,Chihuahua,2005,967376
Less than 14 years,Distrito Federal,2005,2040621
Less than 14 years,Durango,2005,495390
Less than 14 years,Guanajuato,2005,1648296
Less than 14 years,Guerrero,2005,1119682
Less than 14 years,Hidalgo,2005,751258
Less than 14 years,Jalisco,2005,2060172
Less than 14 years,Mexico,2005,4145820
Less than 14 years,Michoacan de Ocampo,2005,1289187
Less than 14 years,Morelos,2005,476075
Less than 14 years,Nayarit,2005,292340
Less than 14 years,Nuevo Leon,2005,1181971
Less than 14 years,Oaxaca,2005,1196031
Less than 14 years,Puebla,2005,1789987
Less than 14 years,Queretaro,2005,510330
Less than 14 years,Quintana Roo,2005,320927
Less than 14 years,San Luis Potosi,2005,805289
Less than 14 years,Sinaloa,2005,782625
Less than 14 years,Sonora,2005,719087
Less than 14 years,Tabasco,2005,635399
Less than 14 years,Tamaulipas,2005,880440
Less than 14 years,Tlaxcala,2005,347643
Less than 14 years,Veracruz de Ignacio de la Llave,2005,2188712
Less than 14 years,Yucatan,2005,534115
Less than 14 years,Zacatecas,2005,448920
Between 15 and 59 years,Nacional,2005,60463729
Between 15 and 59 years,Aguascalientes,2005,618080
Between 15 and 59 years,Baja California,2005,1657322
Between 15 and 59 years,Baja California Sur,2005,310544
Between 15 and 59 years,Campeche,2005,453779
Between 15 and 59 years,Coahuila de Zaragoza,2005,1495796
Between 15 and 59 years,Colima,2005,339763
Between 15 and 59 years,Chiapas,2005,2349464
Between 15 and 59 years,Chihuahua,2005,1868744
Between 15 and 59 years,Distrito Federal,2005,5559000
Between 15 and 59 years,Durango,2005,861418
Between 15 and 59 years,Guanajuato,2005,2794812
Between 15 and 59 years,Guerrero,2005,1674028
Between 15 and 59 years,Hidalgo,2005,1360881
Between 15 and 59 years,Jalisco,2005,3927989
Between 15 and 59 years,Mexico,2005,8350171
Between 15 and 59 years,Michoacan de Ocampo,2005,2234494
Between 15 and 59 years,Morelos,2005,929492
Between 15 and 59 years,Nayarit,2005,551021
Between 15 and 59 years,Nuevo Leon,2005,2600253
Between 15 and 59 years,Oaxaca,2005,1923694
Between 15 and 59 years,Puebla,2005,3038184
Between 15 and 59 years,Queretaro,2005,938445
Between 15 and 59 years,Quintana Roo,2005,633279
Between 15 and 59 years,San Luis Potosi,2005,1360302
Between 15 and 59 years,Sinaloa,2005,1525012
Between 15 and 59 years,Sonora,2005,1424599
Between 15 and 59 years,Tabasco,2005,1195698
Between 15 and 59 years,Tamaulipas,2005,1813632
Between 15 and 59 years,Tlaxcala,2005,626238
Between 15 and 59 years,Veracruz de Ignacio de la Llave,2005,4184277
Between 15 and 59 years,Yucatan,2005,1089486
Between 15 and 59 years,Zacatecas,2005,773832
More than 60 years,Nacional,2005,8338835
More than 60 years,Aguascalientes,2005,72771
More than 60 years,Baja California,2005,164888
More than 60 years,Baja California Sur,2005,31053
More than 60 years,Campeche,2005,56210
More than 60 years,Coahuila de Zaragoza,2005,193764
More than 60 years,Colima,2005,46316
More than 60 years,Chiapas,2005,278350
More than 60 years,Chihuahua,2005,247283
More than 60 years,Distrito Federal,2005,859438
More than 60 years,Durango,2005,130472
More than 60 years,Guanajuato,2005,391166
More than 60 years,Guerrero,2005,273182
More than 60 years,Hidalgo,2005,204325
More than 60 years,Jalisco,2005,556526
More than 60 years,Mexico,2005,891609
More than 60 years,Michoacan de Ocampo,2005,372115
More than 60 years,Morelos,2005,143942
More than 60 years,Nayarit,2005,90661
More than 60 years,Nuevo Leon,2005,334987
More than 60 years,Oaxaca,2005,341241
More than 60 years,Puebla,2005,440546
More than 60 years,Queretaro,2005,105236
More than 60 years,Quintana Roo,2005,44163
More than 60 years,San Luis Potosi,2005,221334
More than 60 years,Sinaloa,2005,220998
More than 60 years,Sonora,2005,191223
More than 60 years,Tabasco,2005,135093
More than 60 years,Tamaulipas,2005,245476
More than 60 years,Tlaxcala,2005,82806
More than 60 years,Veracruz de Ignacio de la Llave,2005,674560
More than 60 years,Yucatan,2005,163076
More than 60 years,Zacatecas,2005,134025
Less than 14 years,Nacional,2010,32515796
Less than 14 years,Aguascalientes,2010,374237
Less than 14 years,Baja California,2010,901886
Less than 14 years,Baja California Sur,2010,178472
Less than 14 years,Campeche,2010,236538
Less than 14 years,Coahuila de Zaragoza,2010,797175
Less than 14 years,Colima,2010,177605
Less than 14 years,Chiapas,2010,1645047
Less than 14 years,Chihuahua,2010,982401
